País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
World,228907394,417242.0,4699141,6767.0,205498697,442879.0,18709556,99863,29367.0,602.9,-1,-1,-1,All
USA,42866805,64559.0,691562,849.0,32483226,49060.0,9692017,24850,128591.0,2075.0,618987057,1856825,333357810,North America
India,33447010,31121.0,444869,306.0,32664351,39633.0,337790,8944,23951.0,319.0,550780273,394413,1396457441,Asia
Brazil,21230325,22789.0,590547,803.0,20280294,7574.0,359484,8318,99026.0,2755.0,57282520,267185,214392467,South America
UK,7400739,30144.0,135147,164.0,5958691,24673.0,1306901,1020,108327.0,1978.0,289860893,4242772,68318747,Europe
Russia,7254754,20329.0,197425,799.0,6485264,16247.0,572065,2300,49687.0,1352.0,186100000,1274566,146010443,Europe
France,6949519,7414.0,116002,42.0,6626528,13564.0,206989,2000,106182.0,1772.0,134787318,2059430,65448851,Europe
Turkey,6820861,26161.0,61361,221.0,6309910,24023.0,449590,633,79833.0,718.0,82099933,960914,85439438,Asia
Iran,5408860,12847.0,116791,355.0,4736896,28701.0,555173,6836,63413.0,1369.0,30123729,353167,85296026,Asia
Argentina,5238610,1451.0,114367,81.0,5093351,2902.0,30892,1516,114634.0,2503.0,24252818,530711,45698752,South America
Colombia,4939251,1655.0,125860,34.0,4777796,1627.0,35595,542,95832.0,2442.0,25011054,485270,51540486,South America
Spain,4929546,-1.0,85783,-1.0,4633527,-1.0,210236,1028,105384.0,1834.0,63040355,1347685,46776767,Europe
Italy,4632275,4576.0,130284,51.0,4388951,5756.0,113040,519,76752.0,2159.0,89156919,1477237,60353850,Europe
Indonesia,4188529,3385.0,140323,185.0,3983140,7076.0,65066,-1,15119.0,507.0,36221791,130750,277030650,Asia
Germany,4146128,7106.0,93555,38.0,3882700,9000.0,169873,1217,49295.0,1112.0,70379237,836761,84109125,Europe
Mexico,3552983,3754.0,270538,192.0,2906771,9104.0,375674,4798,27210.0,2072.0,10311181,78967,130575284,North America
Poland,2897395,797.0,75487,14.0,2659020,208.0,162888,110,76658.0,1997.0,20373472,539034,37796271,Europe
South Africa,2880349,3286.0,86116,164.0,2728961,14396.0,65272,546,47834.0,1430.0,17321958,287668,60215077,Africa
Philippines,2347550,23134.0,36583,255.0,2126879,27024.0,184088,3170,21083.0,329.0,20226079,181646,111348750,Asia
Ukraine,2344398,6234.0,54829,79.0,2230306,1763.0,59263,177,54000.0,1263.0,12448211,286729,43414507,Europe
Peru,2166419,886.0,198976,28.0,0,0.0,0,1034,64614.0,5935.0,17463391,520853,33528461,South America
Malaysia,2082876,15549.0,23067,324.0,1840450,17205.0,219359,1165,63370.0,702.0,28356181,862713,32868632,Asia
